File,missing_orig,missing_refac,statements_orig,statements_refac,statements_diff,missing_diff,coverage_original,coverage_refactor,covered_lines,Module
/etc/python3.10/sitecustomize.py,1,1,5,5,0,0,4,4,0,
jedi/__init__.py,0,0,8,8,0,0,8,8,0,
jedi/api/__init__.py,30,30,308,308,0,0,278,278,0,
jedi/api/classes.py,40,40,298,298,0,0,258,258,0,
jedi/api/completion.py,71,71,380,380,0,0,309,309,0,
jedi/api/completion_cache.py,7,7,22,22,0,0,15,15,0,
jedi/api/environment.py,53,53,212,212,0,0,159,159,0,
jedi/api/errors.py,0,0,19,19,0,0,19,19,0,
jedi/api/exceptions.py,0,0,5,5,0,0,5,5,0,
jedi/api/file_name.py,51,51,114,114,0,0,63,63,0,
jedi/api/helpers.py,34,34,331,331,0,0,297,297,0,
jedi/api/interpreter.py,7,7,34,34,0,0,27,27,0,
jedi/api/keywords.py,21,21,32,32,0,0,11,11,0,
jedi/api/project.py,10,10,219,219,0,0,209,209,0,
jedi/api/refactoring/__init__.py,110,110,156,156,0,0,46,46,0,
jedi/api/refactoring/extract.py,4,4,239,239,0,0,235,235,0,
jedi/api/replstartup.py,0,0,5,5,0,0,5,5,0,
jedi/api/strings.py,3,3,65,65,0,0,62,62,0,
jedi/cache.py,8,8,66,66,0,0,58,58,0,
jedi/common.py,0,0,15,15,0,0,15,15,0,
jedi/debug.py,10,10,75,75,0,0,65,65,0,
jedi/file_io.py,10,10,52,52,0,0,42,42,0,
jedi/inference/__init__.py,19,19,108,108,0,0,89,89,0,
jedi/inference/analysis.py,73,73,120,120,0,0,47,47,0,
jedi/inference/arguments.py,124,124,211,211,0,0,87,87,0,
jedi/inference/base_value.py,105,105,319,319,0,0,214,214,0,
jedi/inference/cache.py,1,1,74,74,0,0,73,73,0,
jedi/inference/compiled/__init__.py,10,10,35,35,0,0,25,25,0,
jedi/inference/compiled/access.py,113,113,328,328,0,0,215,215,0,
jedi/inference/compiled/getattr_static.py,4,4,69,69,0,0,65,65,0,
jedi/inference/compiled/mixed.py,28,28,161,161,0,0,133,133,0,
jedi/inference/compiled/subprocess/__init__.py,21,21,226,226,0,0,205,205,0,
jedi/inference/compiled/subprocess/functions.py,41,41,150,150,0,0,109,109,0,
jedi/inference/compiled/value.py,128,128,382,382,0,0,254,254,0,
jedi/inference/context.py,69,55,291,291,0,-14,222,236,14,
jedi/inference/docstring_utils.py,0,0,15,15,0,0,15,15,0,
jedi/inference/docstrings.py,64,64,136,136,0,0,72,72,0,
jedi/inference/dynamic_params.py,32,32,120,120,0,0,88,88,0,
jedi/inference/filters.py,34,34,213,213,0,0,179,179,0,
jedi/inference/finder.py,59,47,84,84,0,-12,25,37,12,
jedi/inference/flow_analysis.py,19,19,84,84,0,0,65,65,0,
jedi/inference/gradual/__init__.py,0,0,0,0,0,0,0,0,0,
jedi/inference/gradual/annotation.py,154,154,236,236,0,0,82,82,0,
jedi/inference/gradual/base.py,158,158,233,233,0,0,75,75,0,
jedi/inference/gradual/conversion.py,24,24,139,139,0,0,115,115,0,
jedi/inference/gradual/generics.py,35,35,62,62,0,0,27,27,0,
jedi/inference/gradual/stub_value.py,13,13,67,67,0,0,54,54,0,
jedi/inference/gradual/type_var.py,64,64,84,84,0,0,20,20,0,
jedi/inference/gradual/typeshed.py,24,24,163,163,0,0,139,139,0,
jedi/inference/gradual/typing.py,158,158,245,245,0,0,87,87,0,
jedi/inference/gradual/utils.py,17,17,20,20,0,0,3,3,0,
jedi/inference/helpers.py,32,30,120,120,0,-2,88,90,2,
jedi/inference/imports.py,19,19,287,287,0,0,268,268,0,
jedi/inference/lazy_value.py,9,9,35,35,0,0,26,26,0,
jedi/inference/names.py,111,108,456,456,0,-3,345,348,3,
jedi/inference/param.py,111,111,127,127,0,0,16,16,0,
jedi/inference/parser_cache.py,0,0,4,4,0,0,4,4,0,
jedi/inference/recursion.py,23,23,66,66,0,0,43,43,0,
jedi/inference/references.py,83,83,197,197,0,0,114,114,0,
jedi/inference/signature.py,23,23,106,106,0,0,83,83,0,
jedi/inference/star_args.py,44,44,148,148,0,0,104,104,0,
jedi/inference/syntax_tree.py,305,290,568,568,0,-15,263,278,15,
jedi/inference/sys_path.py,40,40,150,150,0,0,110,110,0,
jedi/inference/utils.py,12,12,43,43,0,0,31,31,0,
jedi/inference/value/__init__.py,0,0,4,4,0,0,4,4,0,
jedi/inference/value/decorator.py,10,10,16,16,0,0,6,6,0,
jedi/inference/value/dynamic_arrays.py,83,83,110,110,0,0,27,27,0,
jedi/inference/value/function.py,130,130,297,297,0,0,167,167,0,
jedi/inference/value/instance.py,158,158,345,345,0,0,187,187,0,
jedi/inference/value/iterable.py,217,217,385,385,0,0,168,168,0,
jedi/inference/value/klass.py,83,83,213,213,0,0,130,130,0,
jedi/inference/value/module.py,17,17,128,128,0,0,111,111,0,
jedi/inference/value/namespace.py,1,1,45,45,0,0,44,44,0,
jedi/parser_utils.py,26,26,201,201,0,0,175,175,0,
jedi/plugins/__init__.py,0,0,31,31,0,0,31,31,0,
jedi/plugins/django.py,98,98,162,162,0,0,64,64,0,
jedi/plugins/flask.py,6,6,11,11,0,0,5,5,0,
jedi/plugins/registry.py,0,0,6,6,0,0,6,6,0,
jedi/plugins/stdlib.py,295,295,449,449,0,0,154,154,0,
jedi/settings.py,2,2,31,31,0,0,29,29,0,
jedi/utils.py,9,9,47,47,0,0,38,38,0,
,4008,3962,11823,11823,0,-46,7815,7861,46,Total
