Module,missing_orig,missing_refac,statements_orig,statements_refac,statements_diff,missing_diff,coverage_original,coverage_refactor,covered_lines
acitoolkit/__about__.py,0,0,9,9,0,0,9,9,0
acitoolkit/__init__.py,0,0,16,17,1,0,16,17,1
acitoolkit/aciConcreteLib.py,1164,1164,1543,1438,-105,0,379,274,-105
acitoolkit/aciFaults.py,85,85,110,109,-1,0,25,24,-1
acitoolkit/aciHealthScore.py,32,32,51,45,-6,0,19,13,-6
acitoolkit/aciSearch.py,55,55,73,71,-2,0,18,16,-2
acitoolkit/aciTable.py,47,47,64,64,0,0,17,17,0
acitoolkit/acibaseobject.py,469,613,874,851,-23,144,405,238,-167
acitoolkit/acicounters.py,212,214,236,235,-1,2,24,21,-3
acitoolkit/acifakeapic.py,142,142,181,178,-3,0,39,36,-3
acitoolkit/aciphysobject.py,1360,1400,1729,1647,-82,40,369,247,-122
acitoolkit/acisession.py,395,395,530,531,1,0,135,136,1
acitoolkit/acitoolkit.py,2034,2903,3678,3517,-161,869,1644,614,-1030
acitoolkit/acitoolkitlib.py,151,151,174,172,-2,0,23,21,-2
Total,6146,7201,9268,8884,-384,1055,3122,1683,-1439
